Text,Score,PairID
"ਉਹਨਾਂ ਨੇ ਫੌਜ ਦੇ ਮਾਮਲੇ 'ਚ ਰਾਜਨੀਤੀ ਕਰਨ 'ਤੇ ਸਵਾਲ ਖੜ੍ਹੇ ਕੀਤੇ
ਬਹਿਸ 'ਚ ਭਾਜਪਾ ਨੇ ਇਸ ਪ੍ਰਸਤਾਵ ਨੂੰ ਲਿਆਉਣ 'ਤੇ ਸਵਾਲ ਖੜ੍ਹੇ ਕੀਤੇ",0.31,pan_test_00115
"ਸੁਰਿੰਦਰ ਿਢੱਲੋਂ, ਟਾਂਡਾ ਉੜਮੁੜ   ਥਾਣਾ ਟਾਂਡਾ ਪੁਲਿਸ ਨੇ ਗਸ਼ਤ ਦੌਰਾਨ ਵੱਡੀ ਮਾਤਰਾ 'ਚ ਨਸ਼ੀਲੇ ਕੈਪਸੂਲਾਂ ਸਮੇਤ ਇਕ ਵਿਅਕਤੀ ਨੂੰ ਕਾਬੂ ਕਰਕੇ ਮਾਮਲਾ ਦਰਜ ਕੀਤਾ ਹੈ
ਥਾਣਾ ਖੇਮਕਰਨ 'ਚ ਉਕਤ ਵਿਅਕਤੀ ਵਿਰੁਧ ਐੱਨ. ਡੀ.ਪੀ.ਸੀ ਐਕਟ ਵਿਰੁੱਧ ਮਾਮਲਾ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ",0.5,pan_dev_00196
"ਉਨ੍ਹਾਂ ਕਿਹਾ, ""ਸਾਡਾ ਯਤਨ ਭਾਰਤੀ ਵਿੱਤੀ ਪ੍ਰਣਾਲੀ ਲਈ ਮਜ਼ਬੂਤੀ ਅਤੇ ਨਵੀਨਤਾਕਾਰੀ ਹੱਲਾਂ ਨਾਲ ਬਾਹਰੀ ਅਤੇ ਅੰਦਰੂਨੀ ਸਾਰੀਆਂ ਚੁਣੌਤੀਆਂ ਦਾ ਸਾਹਮਣਾ ਕਰਨਾ ਹੈ
ਭਾਰਤੀ ਵਿੱਤੀ ਪ੍ਰਣਾਲੀ ਇਹਨਾਂ ਝਟਕਿਆਂ ਦਾ ਸਾਹਮਣਾ ਕਰਨ ਲਈ ਅੰਦਰੂਨੀ ਤਾਕਤ ਅਤੇ ਲਚਕੀਲੇਪਣ ਦਾ ਪ੍ਰਦਰਸ਼ਨ ਕਰਦੀ ਹੈ",0.62,pan_test_00055
"ਜ਼ਿਕਰਯੋਗ ਹੈ ਕਿ ਕੋਰੋਨਾ ਮਹਾਮਾਰੀ ਕਾਰਨ ਦੋ ਸਾਲ ਬਾਅਦ ਅੱਜ ਤੋਂ ਅਮਰਨਾਥ ਯਾਤਰਾ ਸ਼ੁਰੂ ਹੋ ਗਈ ਹੈ
ਕੋਵਿਡ-19 ਗਲੋਬਲ ਮਹਾਂਮਾਰੀ ਕਾਰਨ ਦੋ ਸਾਲਾਂ ਦੇ ਵਕਫੇ ਬਾਅਦ ਅੱਜ ਸਵੇਰੇ ਨੁਨਵਾਨ ਅਤੇ ਬਾਲਟਾਲ ਤੋਂ ਸਾਲਾਨਾ ਅਮਰਨਾਥ ਯਾਤਰਾ ਸ਼ੁਰੂ ਹੋਈ",0.69,pan_test_00063
"ਇਹ ਦੇਖਿਆ ਜਾਵੇਗਾ ਕਿ ਸੀਮਤ ਲੋਕਾਂ ’ਤੇ ਕੀਤੇ ਗਏ ਅਧਿਐਨ ਤੋਂ ਬਾਅਦ ਨਤੀਜਾ ਕੀਤ ਨਿਕਲਦਾ ਹੈ
ਸ਼ੁਰੂਆਤੀ ਤੌਰ ’ਤੇ ਕੀਤੇ ਗਏ ਇਸ ਅਧਿਐਨ ਤੋਂ ਬਾਅਦ ਹੁਣ ਜ਼ਿਆਦਾ ਲੋਕਾਂ ਨੂੰ ਇਸ ’ਚ ਸ਼ਾਮਲ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ",0.12,pan_test_00014
"ਉਨ੍ਹਾਂ ਤੋਂ ਪਹਿਲਾਂ ਸੁਸ਼ਮਿਤਾ ਸੇਨ ਨੇ ਸਾਲ 1994 ਅਤੇ ਲਾਰਾ ਦੱਤਾ ਨੇ ਸਾਲ 2000 ਵਿੱਚ ਮਿਸ ਯੂਨੀਵਰਸ ਦਾ ਖਿਤਾਬ ਜਿੱਤਿਆ ਸੀ
ਸੁਸ਼ਮਿਤਾ ਸੇਨ ਸਾਲ 1994 ਵਿੱਚ ਮਿਸ ਯੂਨੀਵਰਸ ਬਣੀ ਸੀ",0.5,pan_dev_00120
"ਕੈਂਪ ਦੌਰਾਨ ਮੈਕਸ ਹਸਪਤਾਲ ਮੋਹਾਲੀ ਦੇ ਮਾਹਿਰ ਡਾਕਟਰਾਂ ਦੀ ਯੋਗ ਨਿਗਰਾਨੀ ਅਧੀਨ 500 ਤੋਂ ਵੱਧ ਲੋਕਾਂ ਨੇ ਕੈਂਪ ਦਾ ਲਾਭ ਉਠਾਇਆ
ਕੈਂਪ ਦੌਰਾਨ 500 ਤੋਂ ਵੱਧ ਲੋਕਾਂ ਨੇ ਮੁਫ਼ਤ ਮੈਡੀਕਲ ਜਾਂਚ ਅਤੇ ਵੱਖ-ਵੱਖ ਬਿਮਾਰੀਆਂ ਤੋਂ ਬਚਾਅ ਸਬੰਧੀ ਜਾਣਕਾਰੀ ਹਾਸਲ ਕੀਤੀ",0.78,pan_dev_00025
"ਪੰਜਾਬ ਪੁਲਿਸ ਦੇ ਇੰਟੈਲੀਜੈਂਸ ਹੈੱਡਕੁਆਰਟਰ 'ਤੇ ਹਮਲੇ ਤੋਂ ਬਾਅਦ ਮਾਨ ਸਰਕਾਰ ਇੱਕ ਵਾਰ ਫਿਰ ਸਵਾਲਾਂ ਦੇ ਘੇਰੇ 'ਚ ਆ ਗਈ ਹੈ
ਮਾਨ ਸਰਕਾਰ ਨੇ ਸੱਤਾ ਸੰਭਾਲਣ ਤੋਂ ਬਾਅਦ ਅਧਿਕਾਰੀਆਂ ਦੇ ਵੱਡੇ ਪੱਧਰ 'ਤੇ ਤਬਾਦਲੇ ਕੀਤੇ ਹਨ ਤੇ ਆਉਣ ਵਾਲੇ ਦਿਨਾਂ 'ਚ ਹੋਰ ਤਬਾਦਲੇ ਹੋ ਸਕਦੇ ਹਨ",0.72,pan_test_00456
"ਇਸ ਦੌਰਾਨ ਭਾਰੀ ਮੀਂਹ ਕਾਰਨ ਮੁੰਬਈ ਦੇ ਕਈ ਨੀਵੇਂ ਇਲਾਕਿਆਂ ਵਿੱਚ ਪਾਣੀ ਭਰ ਗਿਆ
ਕਰੀਬ ਇਕ ਘੰਟੇ ਪਏ ਤੇਜ਼ ਮੀਂਹ ਨਾਲ ਪਹਿਲਾਂ ਹੀ ਪਾਣੀ ਨਾਲ ਭਰੇ ਹੋਏ ਨੀਵੇਂ ਇਲਾਕਿਆਂ 'ਚ ਹੋਰ ਪਾਣੀ ਭਰ ਗਿਆ",0.38,pan_dev_00014
"ਪਿਛਲੇ ਕਾਰੋਬਾਰੀ ਸੈਸ਼ਨ ਦੌਰਾਨ ਦਿੱਲੀ ਸਰਾਫਾ ਬਾਜ਼ਾਰ 'ਚ ਸੋਨਾ 50,477 ਰੁਪਏ ਪ੍ਰਤੀ 10 ਗ੍ਰਾਮ 'ਤੇ ਬੰਦ ਹੋਇਆ ਸੀ
ਤਾਜ਼ਾ ਸੋਨੇ ਦੀ ਕੀਮਤ ਭਾਰਤੀ ਸਰਾਫਾ ਬਾਜ਼ਾਰ 'ਚ ਵੀਰਵਾਰ ਨੂੰ ਦਸ ਗ੍ਰਾਮ ਸੋਨਾ 50,314 ਰੁਪਏ ਚੱਲ ਰਿਹਾ ਸੀ",0.75,pan_test_00018
"ਪਿਛਲੇ ਕਾਰੋਬਾਰੀ ਸੈਸ਼ਨ ਦੌਰਾਨ ਦਿੱਲੀ ਸਰਾਫਾ ਬਾਜ਼ਾਰ 'ਚ ਸੋਨਾ 50,477 ਰੁਪਏ ਪ੍ਰਤੀ 10 ਗ੍ਰਾਮ 'ਤੇ ਬੰਦ ਹੋਇਆ ਸੀ
ਦਿੱਲੀ ਸਰਾਫਾ ਬਾਜ਼ਾਰ 'ਚ ਵੀਰਵਾਰ ਨੂੰ ਸੋਨੇ ਦੀ ਕੀਮਤ 163 ਰੁਪਏ ਪ੍ਰਤੀ 10 ਗ੍ਰਾਮ ਦੀ ਗਿਰਾਵਟ ਨਾਲ 50,314 ਰੁਪਏ ਪ੍ਰਤੀ 10 ਗ੍ਰਾਮ 'ਤੇ ਬੰਦ ਹੋਈ",0.44,pan_test_00524
"ਪੁਲਿਸ ਵੱਲੋਂ ਪਿੰਡ ਵਾਸੀਆਂ ਨੂੰ ਵੀ ਨਸ਼ਾ ਤਸਕਰੀ ਨੂੰ ਲੈ ਕੇ ਗੱਲਬਾਤ ਕੀਤੀ ਗਈ ਤੇ ਕਈ ਲੋਕਾਂ ਤੋਂ ਪੁੱਛਗਿੱਛ ਕੀਤੀ ਗਈ
ਇਸ ਦੌਰਾਨ ਪਲੇਟਫਾਰਮ 'ਤੇ ਖੜ੍ਹੇ ਯਾਤਰੀਆਂ ਦੇ ਸਾਮਾਨ ਦੀ ਤਲਾਸ਼ੀ ਲੈਣ ਤੋਂ ਇਲਾਵਾ ਸ਼ੱਕੀ ਲੋਕਾਂ ਤੋਂ ਪੁੱਛਗਿੱਛ ਵੀ ਕੀਤੀ ਗਈ",0.38,pan_test_00238
"ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਜਲਦ ਹੀ ਪੰਜਾਬ ਦੌਰੇ 'ਤੇ ਆ ਰਹੇ ਹਨ
ਚੰਡੀਗੜ੍ਹ (ਬਿਊਰੋ) : ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਇਕ ਵਾਰ ਫਿਰ ਪੰਜਾਬ ਆਉਣ ਵਾਲੇ ਹਨ",0.5,pan_dev_00111
"ਮੋਹਾਲੀ ਦੇ ਹੋਰ ਕਈ ਹਿੱਸਿਆਂ 'ਚ ਵੀ ਪਾਣੀ ਭਰ ਗਿਆ ਪਰ ਫੇਜ਼-11 'ਚ ਬਹੁਤ ਜ਼ਿਆਦਾ ਨੁਕਸਾਨ ਹੋਇਆ ਹੈ
ਇਸੇ ਤਰ੍ਹਾਂ ਹੀ ਡਿਪਟੀ ਮੇਅਰ ਕੁਲਜੀਤ ਸਿੰਘ ਬੇਦੀ ਦੇ ਇਲਾਕੇ ਫੇਜ਼-3ਬੀ2, 5, ਸੈਕਟਰ-70 'ਚ ਵੀ ਹੇਠਲੇ ਇਲਾਕਿਆਂ 'ਚ ਕਾਫੀ ਪਾਣੀ ਭਰ ਗਿਆ",0.75,pan_dev_00240
"ਪੁਲਿਸ ਵੱਲੋਂ ਰਾਕੇਸ਼ ਟਿਕੈਤ ਅਤੇ ਜੋਗਿੰਦਰ ਯਾਦਵ ਨੂੰ ਹਿਰਾਸਤ 'ਚ ਲਿਆ ਗਿਆ ਹੈ
ਪੁਲਿਸ ਵੱਲੋਂ ਕਿਸਾਨ ਆਗੂ ਰਾਕੇਸ਼ ਟਿਕੈਤ ਸਣੇ ਕੁਝ ਹੋਰ ਕਿਸਾਨ ਆਗੂਆਂ ਨੂੰ ਹਿਰਾਸਤ ਵਿਚ ਲੈਣ ਦੀ ਖਬਰ ਆਈ ਹੈ",0.62,pan_dev_00018
"ਕਾਬੂ ਕੀਤੇ ਮੁਲਜ਼ਮ ਦੀ ਪਛਾਣ ਕੀਮਤੀ ਲਾਲ ਵਾਸੀ ਪਿੰਡ ਮੱਤਫੱਲੂ ਥਾਣਾ ਗੁਰਾਇਆ ਵਜੋਂ ਹੋਈ ਹੈ
ਮੁਲਜ਼ਮ ਦੀ ਪਛਾਣ ਪਰਮਜੀਤ ਸਿੰਘ ਉਰਫ ਮੋਹਣੀ ਪੁੱਤਰ ਰਾਵਲ ਸਿੰਘ ਵਾਸੀ ਪਿੰਡ ਖੱਖ ਥਾਣਾ ਟਾਂਡਾ ਵਜੋਂ ਹੋਈ",0.31,pan_dev_00158
"ਇਸ ਤੋਂ ਬਾਅਦ ਸੁਖਬੀਰ ਬਾਦਲ ਨੇ ਵੀ ਭਾਜਪਾ ਨਾਲੋਂ ਨਾਤਾ ਤੋੜ ਲਿਆ
ਇਸ ਦੇ ਬਾਅਦ ਸੁਖਬੀਰ ਬਾਦਲ ਨੇ ਭਾਜਪਾ ਨਾਲ ਗਠਜੋੜ ਤੋੜ ਲਿਆ ਸੀ",0.44,pan_test_00046
"ਸ਼ਹਿਨਾਜ਼ ਗਿੱਲ ਦਾ ਇੱਕ ਆਟੋਗ੍ਰਾਫ ਵਾਇਰਲ ਹੋ ਰਿਹਾ ਹੈ, ਜਿਸ ਵਿੱਚ ਉਸਨੇ ਸਿਧਾਰਥ ਸ਼ੁਕਲਾ ਦਾ ਨਾਮ ਲਿਖਿਆ ਹੈ
ਸ਼ਹਿਨਾਜ਼ ਗਿੱਲ ਸ਼ੂਟਿੰਗ ਵਿੱਚ ਰੁੱਝੀ ਹੋਈ ਸੀ ਅਤੇ ਜਿਵੇਂ ਹੀ ਉਸਨੂੰ ਪਤਾ ਲੱਗਾ ਕਿ ਸਿਧਾਰਥ ਨਹੀਂ ਰਹੇ, ਉਸਨੇ ਸ਼ੂਟਿੰਗ ਛੱਡ ਦਿੱਤੀ",0.44,pan_dev_00157
"ਅੱਜ ਸਵੇਰੇ ਕਰੀਬ 3 ਵਜੇ ਭਾਰਤ-ਪਾਕਿ ਸਰਹੱਦ ਦੇ ਰਾਮਦਾਸ ਸੈਕਟਰ ਤੋਂ 40 ਕਿਲੋ ਤੋਂ ਵੱਧ ਹੈਰੋਇਨ ਬਰਾਮਦ ਕੀਤੀ ਹੈ
ਇਸ ਦੌਰਾਨ ਇਸ ਆਪਰੇਸ਼ਨ 'ਚ ਟੀਮ ਨੇ ਰਾਤ ਨੂੰ ਕਰੀਬ 40 ਕਿਲੋ ਹੈਰੋਇਨ ਬਰਾਮਦ ਕੀਤੀ",0.56,pan_dev_00134
"ਕੈਪਟਨ ਤੋਂ ਬਾਅਦ ਮੁੱਖ ਮੰਤਰੀ ਬਣੇ ਚਰਨਜੀਤ ਚੰਨੀ ਵੀ ਆਪਣੀਆਂ ਦੋਵਾਂ ਸੀਟਾਂ ਤੋਂ ਚੋਣ ਹਾਰ ਗਏ
ਇਸ ਤੋਂ ਬਾਅਦ ਪੀਟੀਆਈ ਅਤੇ ਪੀਐਮਐਲ-ਕਿਊ ਨੇ ਮੁੱਖ ਮੰਤਰੀ ਦੀ ਚੋਣ ਲਈ ਬੁਲਾਏ ਗਏ ਵਿਧਾਨ ਸਭਾ ਸੈਸ਼ਨ ਦਾ ਬਾਈਕਾਟ ਕਰ ਦਿੱਤਾ",0.5,pan_test_00418
"ਸੁੱਖਵਿੰਦਰ ਸਾਕਾ ਰੂਪਨਗਰ : ਪੈਨ ਕਾਰਡ ਅਤੇ ਆਧਾਰ ਕਾਰਡ ਨੂੰ ਲਿੰਕ ਕਰਨਾ ਬਹੁਤ ਜ਼ਰੂਰੀ ਹੈ
ਧਿਆਨ ਦਿਓ ਕਿ ਪੈਨ ਅਤੇ ਆਧਾਰ ਨੂੰ ਲਿੰਕ ਕਰਨਾ ਬਹੁਤ ਜ਼ਰੂਰੀ ਹੈ",0.19,pan_test_00162
"ਉਨ੍ਹਾਂ ਕਿਹਾ ਪੰਜਾਬ ਸਰਕਾਰ ਦੀ ਸਿੱਖਿਆ ਅਤੇ ਸਿਹਤ ਖੇਤਰਾਂ ਨੂੰ ਆਉਂਦੇ ਦਿਨਾਂ ਵਿਚ ਵਿਸ਼ੇਸ਼ ਤਰਜੀਹ ਦਿੱਤੀ ਜਾਵੇਗੀ
ਉਨ੍ਹਾਂ ਕਿਹਾ ਕਿ ਪੰਜਾਬ ਸਰਕਾਰ ਸਰਕਾਰੀ ਸਕੂਲਾਂ ਵਿੱਚ ਮਿਆਰੀ ਸਿੱਖਿਆ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਵਚਨਬੱਧ ਹੈ ਜਿਸ ਲਈ ਕੋਈ ਕਸਰ ਬਾਕੀ ਨਹੀਂ ਛੱਡੀ ਜਾਵੇਗੀ",0.62,pan_test_00627
"ਤਸਵੀਰਾਂ 'ਚ ਅੰਕਿਤਾ ਦਾ ਹੁਣ ਤੱਕ ਦਾ ਸਭ ਤੋਂ ਬੋਲਡ ਅੰਦਾਜ਼ ਦੇਖਣ ਨੂੰ ਮਿਲ ਰਿਹਾ ਹੈ
ਤਸਵੀਰਾਂ 'ਚ ਅੰਕਿਤਾ ਦਾ ਹੁਣ ਤੱਕ ਦਾ ਸਭ ਤੋਂ ਬੋਲਡ ਅੰਦਾਜ਼ ਦੇਖਣ ਨੂੰ ਮਿਲ ਰਿਹਾ ਹੈ",0.07,pan_test_00119
"ਉਨ੍ਹਾਂ ਕਿਹਾ ਕਿ ਪੁਲਿਸ ਨੇ ਐਡਵੋਕੇਟ ਦਲਜੀਤ ਸਿੰਘ ਨਾਲ ਜੋ ਕੀਤਾ ਹੈ, ਡੀਬੀਏ ਉਸ ਦਾ ਵਿਰੋਧ ਕਰਦੀ ਹੈ
ਡੀਬੀਏ ਦੇ ਪ੍ਰਧਾਨ ਐਡਵੋਕੇਟ ਸੁਨੀਲ ਟੋਨੀ ਨੇ ਕਿਹਾ ਕਿ ਪੁਲਿਸ ਵੱਲੋਂ ਐਡਵੋਕੇਟ ਦਲਜੀਤ ਸਿੰਘ ਨੂੰ ਝੂਠੇ ਕੇਸ ਵਿਚ ਫਸਾਇਆ ਜਾ ਰਿਹਾ ਹੈ",0.56,pan_test_00262
"ਮਹਾਨ ਵੈਦ ਡਾ: ਬਿਧਾਨ ਚੰਦਰ ਰਾਏ ਦਾ ਜਨਮ 1 ਜੁਲਾਈ 1882 ਨੂੰ ਹੋਇਆ ਸੀ ਅਤੇ 1 ਜੁਲਾਈ 1962 ਨੂੰ ਡਾ.ਬਿਧਾਨ ਦੀ ਮੌਤ ਹੋ ਗਈ ਸੀ
ਧਿਆਨ ਦੇਣ ਯੋਗ ਹੈ ਕਿ 1 ਜੁਲਾਈ ਨੂੰ ਦੇਸ਼ 'ਚ ਡਾ. ਬਿਧਾਨ ਚੰਦਰ ਰਾਏ ਦੀ ਜਯੰਤੀ ਮੌਕੇ ਕੌਮੀ ਸਿਹਤ ਦਿਵਸ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ",0.81,pan_dev_00113
"ਸੁਸ਼ਮਿਤਾ ਸੇਨ ਅਪਣੀ ਫਿਲਮਾਂ ਤੋਂ ਜ਼ਿਆਦਾ ਨਿੱਜੀ ਜ਼ਿੰਦਗੀ ਨੂੰ ਲੈਕੇ ਸੁਰਖੀਆਂ ਵਿਚ ਰਹੀ
ਸੁਸ਼ਮਿਤਾ ਸੇਨ ਦੀ ਨਿੱਜੀ ਜ਼ਿੰਦਗੀ ਘੱਟ ਫਿਲਮੀ ਨਹੀਂ ਰਹੀ ਹੈ",0.21,pan_test_00208
"ਕਾਬੁਲ : ਅਫ਼ਗਾਨਿਸਤਾਨ 'ਤੇ ਤਾਲਿਬਾਨ ਦੇ ਕਬਜ਼ੇ ਤੋਂ ਬਾਅਦ ਉੱਥੋਂ ਦੇ ਕਲਾਕਾਰ ਭਾਰੀ ਦਿਲ ਨਾਲ ਦੇਸ਼ ਛੱਡ ਕੇ ਸਮੁੰਦਰ ਤੋਂ ਪਾਰ ਜਾ ਰਹੇ ਹਨ
ਕਾਬੁਲ : ਅਫ਼ਗਾਨਿਸਤਾਨ ਵਿੱਚ ਤਾਲਿਬਾਨ ਦੀ ਵਾਪਸੀ ਤੋਂ ਬਾਅਦ ਉੱਥੇ ਸਭ ਕੁਝ ਬਦਲ ਗਿਆ ਹੈ",0.44,pan_dev_00017
