Text,Score,PairID
"ਅੰਮ੍ਰਿਤਸਰ ਦੇ ਹਾਲ ਗੇਟ ਦੇ ਬਾਹਰ ਪਾਵਰਕਾਮ ਮੀਟਰ ਰੀਡਰ ਯੂਨੀਅਨ ਵੱਲੋਂ ਮਾਨ ਸਰਕਾਰ ਖ਼ਿਲਾਫ਼ ਰੋਸ ਪ੍ਰਦਰਸ਼ਨ ਕੀਤਾ ਗਿਆ
ਜਿਸ ਕਰਕੇ ਉਨ੍ਹਾਂ ਨੇ ਅੰਮ੍ਰਿਤਸਰ ਹਾਲ ਗੇਟ ਦੇ ਬਾਹਰ ਆ ਕੇ ਰੋਸ ਪ੍ਰਦਰਸ਼ਨ ਕੀਤਾ",0.56,pan_test_00472
"ਵੈਸੇ ਯੋਗ ਵੀ ਆਪਣੇ ਮਨ ਨੂੰ ਸਿਹਤਮੰਦ ਰੱਖਣ ਦਾ ਇਕ ਵਧੀਆ ਰਸਤਾ ਹੈ।
ਵੈਸੇ ਯੋਗ ਵੀ ਆਪਣੇ ਮਨ ਨੂੰ ਸਿਹਤਮੰਦ ਰੱਖਣ ਦਾ ਇਕ ਵਧੀਆ ਰਸਤਾ ਹੈ।",1.0,PAN-aug-308
"ਵੀਰਵਾਰ ਨੂੰ ਪੰਜਾਬ ਅਤੇ ਹਰਿਆਣਾ ਹਾਈ ਕੋਰਟ ਵਿੱਚ ਇਸ ਪਟੀਸ਼ਨ ਦੀ ਸੁਣਵਾਈ ਦੌਰਾਨ ਈਡੀ ਅਤੇ ਬਚਾਅ ਪੱਖ ਦੇ ਵਕੀਲਾਂ ਵਿਚਾਲੇ ਬਹਿਸ ਹੋਈ
ਪੰਜਾਬ ਹਰਿਆਣਾ ਹਾਈ ਕੋਰਟ ਵਿਚ ਇਸ ਪਟੀਸ਼ਨ 'ਤੇ ਸੁਣਵਾਈ ਦੌਰਾਨ ਈਡੀ ਅਤੇ ਬਚਾਅ ਪੱਖ ਦੇ ਵਕੀਲਾਂ ਵਿਚ ਬਹਿਸ ਹੋਈ",0.75,pan_dev_00039
"ਗੁਜਰਾਤ ਵਿੱਚ ਸੂਰਤ ਦੇ ਉਮਰਪਾੜਾ ਵਿੱਚ ਵੀਰਵਾਰ ਨੂੰ 161 ਮਿਲੀਮੀਟਰ ਮੀਂਹ ਦਰਜ ਕੀਤਾ ਗਿਆ
ਪਿਛਲੇ 11 ਸਾਲਾਂ ਦੀ ਗੱਲ ਕਰੀਏ ਤਾਂ ਸਾਲ 2012 ਵਿੱਚ ਸਭ ਤੋਂ ਘੱਟ 10 ਮਿਲੀਮੀਟਰ ਮੀਂਹ ਦਰਜ ਕੀਤਾ ਗਿਆ ਸੀ",0.5,pan_test_00087
"ਪੰਜਾਬੀ ਜਾਗਰਣ ਕੇਂਦਰ, ਹੁਸ਼ਿਆਰਪੁਰ : ਸਵੱਛ ਵਿਦਿਆਲਾ ਪੁਰਸਕਾਰ ਸਮਾਗਮ ਤਹਿਤ ਅੱਜ ਸਰਕਾਰੀ ਸੀਨੀਅਰ ਸੈਕੰਡਰੀ ਸਕੂਲ ਸ਼ੇਰਗੜ੍ਹ ਵਿਖੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰੀ ਸਨਮਾਨ ਸਮਾਗਮ ਕਰਵਾਇਆ ਗਿਆ
ਪੰਜਾਬੀ ਜਾਗਰਣ ਕੇਂਦਰ, ਜਲੰਧਰ : ਸਿਵਲ ਸਰਜਨ ਡਾ. ਰਮਨ ਸ਼ਰਮਾ ਵੱਲੋਂ ਅਰਬਨ ਪ੍ਰਰਾਇਮਰੀ ਹੈਲਥ ਸੈਂਟਰ (ਯੂ.ਪੀ.ਐੱਚ.ਸੀ.) ਬਸਤੀ ਬਾਵਾ ਖੇਲ ਜਲੰਧਰ ਵਿਖੇ ਅਚਨਚੇਤ ਚੈਕਿੰਗ ਕੀਤੀ ਗਈ",0.44,pan_dev_00080
"ਤੇਜਿੰਦਰ ਸਿੰਘ ਖਾਲਸਾ, ਅਬੋਹਰ : ਸਥਾਨਕ ਰੋਟਰੀ ਕਲੱਬ ਅਬੋਹਰ ਸੈਂਟਰਲ ਵੱਲੋਂ ਅੱਜ ਅੰਤਰਰਾਸ਼ਟਰੀ ਡਾਕਟਰ ਦਿਵਸ ਉਤਸ਼ਾਹ ਨਾਲ ਮਨਾਇਆ
ਤੇਜਿੰਦਰ ਸਿੰਘ ਖਾਲਸਾ, ਅਬੋਹਰ : ਖੇਤੀਬਾੜੀ ਵਿਭਾਗ ਦੀ ਟੀਮ ਵੱਲੋਂ ਮੁੱਖ ਖੇਤੀਬਾੜੀ ਅਫ਼ਸਰ ਰੇਸ਼ਮ ਸਿੰਘ ਦੀ ਅਗਵਾਈ ਵਿਚ ਪਿੰਡ ਦੌਲਤਪੁਰਾ ਦਾ ਦੌਰਾ ਕੀਤਾ ਗਿਆ",0.28,pan_dev_00094
"ਇਸ ਤੋਂ ਉਪਰੰਤ ਪਿੰਡ ਮਲਿਕਪੁਰ ਦੇ ਨੌਜਵਾਨਾਂ ਵੱਲੋਂ ਗੁਰਦੁਆਰਾ ਸਾਹਿਬ ਦੇ ਬਾਹਰ ਨੈਸ਼ਨਲ ਹਾਈਵੇਅ ਤੇ ਠੰਡੇ ਮਿੱਠੇ ਜਲ ਦੀ ਛਬੀਲ ਲਗਾਈ ਗਈ
ਇਸ ਤੋਂ ਉਪਰੰਤ ਗੁਰਦੁਆਰਾ ਸ਼੍ਰੀ ਗੁਰੂ ਤੇਗ ਬਹਾਦਰ ਸਾਹਿਬ ਜੀ ਪਾਤਸ਼ਾਹੀ ਨੌਵੀ ਘਨੌਲੀ ਦੇ ਬਾਹਰ ਠੰਡੇ ਤੇ ਮਿਲੇ ਜਲ ਦੀ ਛਬੀਲ ਲਗਾਈ ਗਈ",0.25,pan_test_00505
"ਤੁਹਾਨੂੰ ਸਾਰਿਆਂ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਯਾਦ ਹੋਣਾ ਕਿ ਨੌ-ਸੈਨਾ ਦੀਆਂ 6 ਮਹਿਲਾ ਕਮਾਂਡਰਾਂ, ਇਹ ਦਲ ਪਿਛਲੇ ਕਈ ਮਹੀਨਿਆਂ ਤੋਂ ਸਮੁੰਦਰ ਦੀ ਯਾਤਰਾ ਉੱਪਰ ਸੀ, ‘ਨਾਵਿਕਾ ਸਾਗਰ ਪਰਿਕਰਮਾ’।
ਤੁਹਾਨੂੰ ਸਾਰਿਆਂ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਯਾਦ ਹੋਣਾ ਕਿ ਨੌ-ਸੈਨਾ ਦੀਆਂ 6 ਮਹਿਲਾ ਕਮਾਂਡਰਾਂ, ਇਹ ਦਲ ਪਿਛਲੇ ਕਈ ਮਹੀਨਿਆਂ ਤੋਂ ਸਮੁੰਦਰ ਦੀ ਯਾਤਰਾ ਉੱਪਰ ਸੀ, ‘ਨਾਵਿਕਾ ਸਾਗਰ ਪਰਿਕਰਮਾ’।",1.0,PAN-aug-335
"ਸਿਹਤ ਮੰਤਰਾਲੇ ਵੱਲੋਂ ਸੋਮਵਾਰ ਸਵੇਰੇ ਤਾਜ਼ਾ ਅੰਕੜੇ ਜਾਰੀ ਕੀਤੇ ਗਏ
ਸਿਹਤ ਮੰਤਰਾਲੇ ਵੱਲੋਂ ਜਾਰੀ ਅੰਕੜਿਆਂ ਮੁਤਾਬਕ ਪਿਛਲੇ 24 ਘੰਟਿਆਂ ਵਿੱਚ ਕੋਰੋਨਾ ਦੇ 16 ਹਜ਼ਾਰ 103 ਨਵੇਂ ਮਾਮਲੇ ਦਰਜ ਕੀਤੇ ਗਏ ਹਨ",0.36,pan_test_00462
"ਭਾਰਤ ਨੇ ਹੁਣ ਤੱਕ ਦਾ ਸਭ ਤੋਂ ਵੱਡਾ ਕਾਰੋਬਾਰ ਅਤੇ ਆਰਥਿਕ ਸੁਧਾਰ ਕੀਤਾ ਹੈ।
ਭਾਰਤ ਨੇ ਹੁਣ ਤੱਕ ਦਾ ਸਭ ਤੋਂ ਵੱਡਾ ਕਾਰੋਬਾਰ ਅਤੇ ਆਰਥਿਕ ਸੁਧਾਰ ਕੀਤਾ ਹੈ।",1.0,PAN-aug-19
"ਸੁਪਰ ਰਾਜਨੀਤਕ ਪੰਡਤਾਂ ਦੇ ਦਿਮਾਗ਼ ਤੋਂ ਰਾਜਨੀਤੀ ਜਾਂਦੀ ਨਹੀਂ ਹੈ।
ਸੁਪਰ ਰਾਜਨੀਤਕ ਪੰਡਤਾਂ ਦੇ ਦਿਮਾਗ਼ ਤੋਂ ਰਾਜਨੀਤੀ ਜਾਂਦੀ ਨਹੀਂ ਹੈ।",1.0,PAN-aug-306
"ਮੈਨੂੰ ਪੂਰਾ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ ਇਹ ਨਵੀਂ ਟੀਮ ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਨੂੰ ਉੱਤਮ ਪ੍ਰਦੇਸ਼ ਬਣਾਉਣ ਵਿੱਚ ਕੋਈ ਕਸਰ ਨਹੀਂ ਛੱਡੇਗੀ।
ਮੈਨੂੰ ਪੂਰਾ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ ਇਹ ਨਵੀਂ ਟੀਮ ਉੱਤਰ ਪ੍ਰਦੇਸ਼ ਨੂੰ ਉੱਤਮ ਪ੍ਰਦੇਸ਼ ਬਣਾਉਣ ਵਿੱਚ ਕੋਈ ਕਸਰ ਨਹੀਂ ਛੱਡੇਗੀ।",1.0,PAN-aug-65
"ਜਦੋਂ ਸਰਕਾਰ ਵੱਲੋਂ ਬਾਕੀ ਰਹਿਦੇ ਕਾਰਡ ਧਾਰਕਾਂ ਲਈ ਕਣਕ ਦਾ ਕੋਟਾ ਜਾਰੀ ਕੀਤਾ ਤਾਂ ਪਹਿਲ ਦੇ ਅਧਾਰ ਤੇ ਵੰਡਿਆਂ ਜਾਵੇਗਾ
ਜਦੋਂ ਸਰਕਾਰ ਵੱਲੋਂ ਕਣਕ ਦਾ ਕੋਟਾ ਹੋਰ ਭੇਜਿਆ ਜਾਵੇਗਾ, ਕਾਰਡਧਾਰਕਾਂ ਨੂੰ ਵੰਡ ਦਿੱਤਾ ਜਾਵੇਗਾ",0.62,pan_test_00024
"ਇਹ ਕਮੇਟੀ ਕੈਬਨਿਟ ਮੰਤਰੀ ਹਰਪਾਲ ਸਿੰਘ ਚੀਮਾ, ਗੁਰਮੀਤ ਸਿੰਘ ਮੀਤ ਹੇਅਰ ਅਤੇ ਹਰਜੋਤ ਸਿੰਘ ਬੈਂਸ 'ਤੇ ਅਧਾਰਿਤ ਹੈ
ਇਹ ਕਮੇਟੀ ਕੈਬਨਿਟ ਮੰਤਰੀ ਹਰਪਾਲ ਸਿੰਘ ਚੀਮਾ, ਗੁਰਮੀਤ ਸਿੰਘ ਮੀਤ ਹੇਅਰ ਅਤੇ ਹਰਜੋਤ ਸਿੰਘ ਬੈਂਸ 'ਤੇ ਆਧਾਰਿਤ ਹੈ",0.31,pan_dev_00186
"ਮੇਘਾਲਿਆ ਦੇ ਸਾਡੇ ਕਿਸਾਨਾਂ ਨੇ ਸਾਲ 2015-16 ਦੌਰਾਨ, ਪਿਛਲੇ 5 ਸਾਲਾਂ ਦੀ ਤੁਲਨਾ ਵਿੱਚ ਰਿਕਾਰਡ ਪੈਦਾਵਾਰ ਕੀਤੀ ਹੈ।
ਮੇਘਾਲਿਆ ਦੇ ਸਾਡੇ ਕਿਸਾਨਾਂ ਨੇ ਸਾਲ 2015-16 ਦੌਰਾਨ, ਪਿਛਲੇ 5 ਸਾਲਾਂ ਦੀ ਤੁਲਨਾ ਵਿੱਚ ਰਿਕਾਰਡ ਪੈਦਾਵਾਰ ਕੀਤੀ ਹੈ।",1.0,PAN-aug-367
"ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਕਿਹਾ ਕਿ ਸਾਡਾ ਉਦੇਸ਼ ਘੱਟ ਤੋਂ ਘੱਟ ਸੰਭਵ ਸਮੇਂ ਵਿੱਚ ਭਾਰਤ ਨੂੰ 5 ਟ੍ਰਿਲੀਅਨ ਡਾਲਰ ਦੀ ਅਰਥਵਿਵਸਥਾ ਵਿੱਚ ਤਬਦੀਲ ਕਰਨਾ ਹੈ।
ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਕਿਹਾ ਕਿ ਸਾਡਾ ਉਦੇਸ਼ ਘੱਟ ਤੋਂ ਘੱਟ ਸੰਭਵ ਸਮੇਂ ਵਿੱਚ ਭਾਰਤ ਨੂੰ 5 ਟ੍ਰਿਲੀਅਨ ਡਾਲਰ ਦੀ ਅਰਥਵਿਵਸਥਾ ਵਿੱਚ ਤਬਦੀਲ ਕਰਨਾ ਹੈ।",1.0,PAN-aug-131
"ਇਨ੍ਹਾਂ ਵਿੱਚ ਖੇਤਰੀ ਉੱਚ ਸਮਰੱਥਾ ਵਾਲੇ ਫਾਈਬਰ ਆਪਟਿਕ ਨੈੱਟਵਰਕ ਅਤੇ ਡਿਜੀਟਲੀ ਰਿਮੋਟ ਖੇਤਰਾਂ ਨਾਲ ਜੋੜਨ ਲਈ ਬਰੌਡਬੈਂਡ ਨੈੱਟਵਰਕ ਸਹਿਯੋਗ ਦੇ ਨਵੇਂ ਖੇਤਰ ਸ਼ਾਮਲ ਕੀਤੇ ਜਾ ਸਕਦੇ ਹਨ.।
ਇਨ੍ਹਾਂ ਵਿੱਚ ਖੇਤਰੀ ਉੱਚ ਸਮਰੱਥਾ ਵਾਲੇ ਫਾਈਬਰ ਆਪਟਿਕ ਨੈੱਟਵਰਕ ਅਤੇ ਡਿਜੀਟਲੀ ਰਿਮੋਟ ਖੇਤਰਾਂ ਨਾਲ ਜੋੜਨ ਲਈ ਬਰੌਡਬੈਂਡ ਨੈੱਟਵਰਕ ਸਹਿਯੋਗ ਦੇ ਨਵੇਂ ਖੇਤਰ ਸ਼ਾਮਲ ਕੀਤੇ ਜਾ ਸਕਦੇ ਹਨ.।",1.0,PAN-aug-158
"(ਅਧੀਨ ਆਉਂਦੀ ਇਕ ਚੌਂਕੀ ਸਮੇਤ) ਥਾਣਾ 7: 31 ਮੁਲਾਜ਼ਮ ਬਦਲੇ
(ਅਧੀਨ ਅਾਉਂਦੀ ਫੋਕਲ ਪੁਆਇੰਟ ਚੌਕੀ ਸਮੇਤ) ਥਾਣਾ ਬਸਤੀ ਬਾਵਾ ਖੇਲ: 35 ਮੁਲਾਜ਼ਮ ਬਦਲੇ",0.28,pan_dev_00007
"ਭਾਰਤ ’ਚ 1 ਜੁਲਾਈ ਦੇ ਦਿਨ ਨੂੰ ਕੌਮੀ ਡਾਕਟਰ ਦਿਵਸ ਵਜੋਂ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ
ਇਹ ਦਿਵਸ ਬ੍ਰਾਜ਼ੀਲ ਵਿਚ 18 ਅਕਤੂਬਰ, ਅਮਰੀਕਾ ਅਤੇ ਆਸਟ੍ਰੇਲੀਆ ’ਚ 30 ਮਾਰਚ, ਕੁਵੈਤ 3 ਮਾਰਚ ਅਤੇ ਕੈਨੇਡਾ ’ਚ 1 ਮਈ ਨੂੰ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ",0.79,pan_test_00141
"ਉਨ੍ਹਾਂ ਦੇ ਅਕਾਲ ਚਲਾਣੇ ਨਾਲ ਦੁਖੀ ਹਾਂ।
ਉਨ੍ਹਾਂ ਦੇ ਅਕਾਲ ਚਲਾਣੇ ਨਾਲ ਦੁਖੀ ਹਾਂ।",1.0,PAN-aug-98
"ਸਮਾਜਕ ਜ਼ਰੂਰਤਾਂ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਸਾਇੰਸ ਅਤੇ ਤਕਨਾਲੋਜੀ ਵਲੋਂ ਚੁੱਕੇ ਗਏ ਠੋਸ ਕਦਮਾਂ ਦੀ ਭਾਰਤ ਪੂਰੀ ਤਰ੍ਹਾਂ ਸ਼ਲਾਘਾ ਕਰਦਾ ਹੈ।
ਸਮਾਜਕ ਜ਼ਰੂਰਤਾਂ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਸਾਇੰਸ ਅਤੇ ਤਕਨਾਲੋਜੀ ਵਲੋਂ ਚੁੱਕੇ ਗਏ ਠੋਸ ਕਦਮਾਂ ਦੀ ਭਾਰਤ ਪੂਰੀ ਤਰ੍ਹਾਂ ਸ਼ਲਾਘਾ ਕਰਦਾ ਹੈ।",1.0,PAN-aug-232
"ਇਸ ਮੌਕੇ ‘ਤੇ ਸੁਪਰੀਮ ਕੋਰਟ ਦੇ ਜੱਜ ਐੱਲ ਨਾਗੇਸ਼ਵਰ ਰਾਓ, ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼ ਦੀ ਵਿਧਾਨ ਸਭਾ ਦੇ ਪ੍ਰਧਾਨ ਡਾ. ਕੋਦੇਲਾ ਸਿਵਪ੍ਰਸਾਦ (Dr.
ਇਸ ਮੌਕੇ ‘ਤੇ ਸੁਪਰੀਮ ਕੋਰਟ ਦੇ ਜੱਜ ਐੱਲ ਨਾਗੇਸ਼ਵਰ ਰਾਓ, ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼ ਦੀ ਵਿਧਾਨ ਸਭਾ ਦੇ ਪ੍ਰਧਾਨ ਡਾ. ਕੋਦੇਲਾ ਸਿਵਪ੍ਰਸਾਦ (Dr.",1.0,PAN-aug-546
"ਪਟਿਆਲਾ : ਪੰਜਾਬ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਕੈਪਟਨ ਅਮਰਿੰਦਰ ਸਿੰਘ ਦੇ ਆਪਣੇ ਸ਼ਾਹੀ ਸ਼ਹਿਰ ਵਿਚ ਪਿਛਲੇ ਕਈ ਦਿਨਾਂ ਤੋਂ ਅਧਿਆਪਕਾਂ ਦਾ ਸੰਘਰਸ਼ ਲਗਾਤਾਰ ਜਾਰੀ ਹੈ
ਮੰਗਲਵਾਰ ਦੁਪਹਿਰ 3 ਵਜੇ ਦੇ ਕਰੀਬ ਕਿਸਾਨਾਂ ਦੀ ਚੰਡੀਗੜ੍ਹ 'ਚ ਮੁੱਖ ਮੰਤਰੀ ਦੀ ਸਰਕਾਰੀ ਰਿਹਾਇਸ਼ ਵਿਖੇ ਕੈਪਟਨ ਅਮਰਿੰਦਰ ਸਿੰਘ ਨਾਲ ਮੀਟਿੰਗ ਹੋਵੇਗੀ",0.56,pan_test_00463
"ਇਸ ਦੀਆਂ ਬਹੁਤ ਉਦਾਹਰਨਾਂ ਹਨ ਕਿ ਤਣਾਅ ਅਤੇ ਗੰਭੀਰ ਸਥਿਤੀ ਦੇ ਟਾਕਰੇ ਵਿੱਚ ਯੋਗ ਮਦਦ ਕਰਦਾ ਹੈ।
ਇਸ ਦੀਆਂ ਬਹੁਤ ਉਦਾਹਰਨਾਂ ਹਨ ਕਿ ਤਣਾਅ ਅਤੇ ਗੰਭੀਰ ਸਥਿਤੀ ਦੇ ਟਾਕਰੇ ਵਿੱਚ ਯੋਗ ਮਦਦ ਕਰਦਾ ਹੈ।",1.0,PAN-aug-171
